model,run_id,rmse,mae,r2
random_forest,9e313a3d63b54ad1b1e57d458cfe6437,297952.63309806376,115798.81303122341,0.7090943135090417
ridge,61e9a9616d6142828139780bc83fe4a5,331409.18607026146,142227.63612786768,0.6400958624742327
linear_regression,bc1195741e844c21a1070d010aa389ca,343102.6642264699,145189.5241120625,0.6142499988787083
